pos,neg,p_count,n_count
positive,negative,0,1
positive,negative,0,1
positive,negative,0,1
positive,negative,0,1
positive,negative,0,1
positive,negative,0,1
positive,negative,0,2
positive,negative,0,2
positive,negative,0,2
positive,negative,0,3
positive,negative,1,3
positive,negative,1,3
positive,negative,2,3
positive,negative,2,4
positive,negative,2,4
positive,negative,2,5
positive,negative,2,5
positive,negative,2,5
positive,negative,2,5
positive,negative,2,5
positive,negative,2,5
positive,negative,2,6
positive,negative,2,6
positive,negative,2,6
positive,negative,2,7
positive,negative,3,7
positive,negative,3,7
positive,negative,4,7
positive,negative,4,8
positive,negative,4,8
positive,negative,4,9
positive,negative,4,9
positive,negative,4,9
positive,negative,4,9
positive,negative,4,9
positive,negative,4,9
positive,negative,4,10
positive,negative,4,10
positive,negative,4,10
positive,negative,4,11
positive,negative,5,11
positive,negative,5,11
positive,negative,6,11
positive,negative,6,12
positive,negative,6,12
positive,negative,6,13
positive,negative,6,13
positive,negative,6,13
positive,negative,6,13
positive,negative,6,13
positive,negative,6,13
positive,negative,6,14
positive,negative,6,14
positive,negative,6,14
positive,negative,6,15
positive,negative,7,15
positive,negative,7,15
positive,negative,8,15
positive,negative,8,16
positive,negative,8,16
positive,negative,8,17
positive,negative,8,17
positive,negative,8,17
positive,negative,8,17
positive,negative,8,17
positive,negative,8,17
positive,negative,8,18
positive,negative,8,18
positive,negative,8,18
positive,negative,8,19
positive,negative,9,19
positive,negative,9,19
positive,negative,10,19
positive,negative,10,20
positive,negative,10,20
positive,negative,10,21
positive,negative,10,21
positive,negative,10,21
positive,negative,10,21
positive,negative,10,21
positive,negative,10,21
positive,negative,10,22
positive,negative,10,22
positive,negative,10,22
positive,negative,10,23
positive,negative,11,23
positive,negative,11,23
positive,negative,12,23
positive,negative,12,24
positive,negative,12,24
positive,negative,12,25
positive,negative,12,25
positive,negative,12,25
positive,negative,12,25
positive,negative,12,25
positive,negative,12,25
positive,negative,12,26
positive,negative,12,26
positive,negative,12,26
positive,negative,12,27
positive,negative,13,27
positive,negative,13,27
positive,negative,14,27
positive,negative,14,28
positive,negative,14,28
positive,negative,14,29
positive,negative,14,29
positive,negative,14,29
positive,negative,14,29
positive,negative,14,29
positive,negative,14,29
positive,negative,14,30
positive,negative,14,30
positive,negative,14,30
positive,negative,14,31
positive,negative,15,31
positive,negative,15,31
positive,negative,16,31
positive,negative,16,32
positive,negative,16,32
positive,negative,16,33
positive,negative,16,33
positive,negative,16,33
positive,negative,16,33
positive,negative,16,33
positive,negative,16,33
positive,negative,16,34
positive,negative,16,34
positive,negative,16,34
positive,negative,16,35
positive,negative,17,35
positive,negative,17,35
positive,negative,18,35
positive,negative,18,36
positive,negative,18,36
positive,negative,18,37
positive,negative,18,37
positive,negative,18,37
positive,negative,18,37
positive,negative,18,37
positive,negative,18,37
positive,negative,18,38
positive,negative,18,38
positive,negative,18,38
positive,negative,18,39
positive,negative,19,39
positive,negative,19,39
positive,negative,20,39
positive,negative,20,40
positive,negative,20,40
positive,negative,20,41
positive,negative,20,41
positive,negative,20,41
positive,negative,20,41
positive,negative,20,41
positive,negative,20,41
positive,negative,20,42
positive,negative,20,42
positive,negative,20,42
positive,negative,20,43
positive,negative,21,43
positive,negative,21,43
positive,negative,22,43
positive,negative,22,44
positive,negative,22,44
positive,negative,22,45
positive,negative,22,45
positive,negative,22,45
positive,negative,22,45
positive,negative,22,45
positive,negative,22,45
positive,negative,22,46
positive,negative,22,46
positive,negative,22,46
positive,negative,22,47
positive,negative,23,47
positive,negative,23,47
positive,negative,24,47
positive,negative,24,48
positive,negative,24,48
positive,negative,24,49
positive,negative,24,49
positive,negative,24,49
positive,negative,24,49
positive,negative,24,49
positive,negative,24,49
positive,negative,24,50
positive,negative,24,50
positive,negative,24,50
positive,negative,24,51
positive,negative,25,51
positive,negative,25,51
positive,negative,26,51
positive,negative,26,52
positive,negative,26,52
positive,negative,26,53
positive,negative,26,53
positive,negative,26,53
positive,negative,26,53
positive,negative,26,53
positive,negative,26,53
positive,negative,26,54
positive,negative,26,54
positive,negative,26,54
positive,negative,26,55
positive,negative,27,55
positive,negative,27,55
positive,negative,28,55
positive,negative,28,56
positive,negative,28,56
positive,negative,28,57
positive,negative,28,57
positive,negative,28,57
positive,negative,28,57
positive,negative,28,57
